ENSG00000101849;TBL1X
ENSG00000113441;LNPEP
ENSG00000134186;PRPF38B
ENSG00000167553;TUBA1C
ENSG00000011454;RABGAP1
ENSG00000030582;GRN
ENSG00000048740;CELF2
ENSG00000066117;SMARCD1
ENSG00000068697;LAPTM4A
ENSG00000069275;NUCKS1
ENSG00000075420;FNDC3B
ENSG00000086062;B4GALT1
ENSG00000086758;HUWE1
ENSG00000099194;SCD
ENSG00000099204;ABLIM1
ENSG00000100226;GTPBP1
ENSG00000101224;CDC25B
ENSG00000101367;MAPRE1
ENSG00000102531;FNDC3A
ENSG00000103257;SLC7A5
ENSG00000104331;IMPAD1
ENSG00000104341;LAPTM4B
ENSG00000104343;UBE2W
ENSG00000107164;FUBP3
ENSG00000108433;GOSR2
ENSG00000108828;VAT1
ENSG00000116489;CAPZA1
ENSG00000117410;ATP6V0B
ENSG00000117620;SLC35A3
ENSG00000119707;RBM25
ENSG00000120137;PANK3
ENSG00000122565;CBX3
ENSG00000123562;MORF4L2
ENSG00000124145;SDC4
ENSG00000124782;RREB1
ENSG00000128272;ATF4
ENSG00000130164;LDLR
ENSG00000130522;JUND
ENSG00000131051;RBM39
ENSG00000131467;PSME3
ENSG00000131747;TOP2A
ENSG00000134294;SLC38A2
ENSG00000135720;DYNC1LI2
ENSG00000136238;RAC1
ENSG00000136802;LRRC8A
ENSG00000136854;STXBP1
ENSG00000137073;UBAP2
ENSG00000137770;CTDSPL2
ENSG00000137942;FNBP1L
ENSG00000142634;EFHD2
ENSG00000143106;PSMA5
ENSG00000143384;MCL1
ENSG00000143569;UBAP2L
ENSG00000146729;GBAS
ENSG00000147955;SIGMAR1
ENSG00000148737;TCF7L2
ENSG00000151414;NEK7
ENSG00000152601;MBNL1
ENSG00000155506;LARP1
ENSG00000156639;ZFAND3
ENSG00000163348;PYGO2
ENSG00000170275;CRTAP
ENSG00000170540;ARL6IP1
ENSG00000175115;PACS1
ENSG00000183943;PRKX
ENSG00000198911;SREBF2
ENSG00000203485;INF2
ENSG00000203879;GDI1
ENSG00000213064;SFT2D2
ENSG00000213923;CSNK1E
ENSG00000215301;DDX3X
ENSG00000220205;VAMP2
