RBP_ID	Family_ID	RSource_ID	Motif_ID	MSource_ID	DBID	RBP_Name	RBP_Species	RBP_Status	Family_Name	RBDs	RBD_Count	Cutoff	DBID	Motif_Type	MSource_Identifier	MSource_Type	MSource_Author	MSource_Year	PMID	MSource_Version	RBPSource_Name	RBPSource_URL	RBPSource_Year	RBPSource_Month	RBPSource_Day
T00071_0.6	F09_0.6	TS19_0.6	.	.	ENSMUSG00000029625	Cpsf4	Mus_musculus	N	CCCH ZF,CCHC ZF	zf-CCCH,zf-CCHC	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T00564_0.6	F15_0.6	TS19_0.6	.	.	ENSMUSG00000022119	Rbm26	Mus_musculus	N	CCCH ZF,RRM	zf-CCCH,RRM_1	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T00565_0.6	F15_0.6	TS19_0.6	.	.	ENSMUSG00000024491	Rbm27	Mus_musculus	N	CCCH ZF,RRM	zf-CCCH,RRM_1	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T00566_0.6	F15_0.6	TS19_0.6	.	.	ENSMUSG00000024604	Rbm22	Mus_musculus	N	CCCH ZF,RRM	zf-CCCH,RRM_1	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T00567_0.6	F15_0.6	TS19_0.6	.	.	ENSMUSG00000031370	Zrsr2	Mus_musculus	N	CCCH ZF,RRM	zf-CCCH,RRM_1	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T00568_0.6	F15_0.6	TS19_0.6	.	.	ENSMUSG00000044068	Zrsr1	Mus_musculus	N	CCCH ZF,RRM	zf-CCCH,RRM_1	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T00569_0.6	F15_0.6	TS19_0.6	.	.	ENSMUSG00000061613	U2af1	Mus_musculus	N	CCCH ZF,RRM	zf-CCCH,RRM_1	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T00570_0.6	F15_0.6	TS19_0.6	.	.	ENSMUSG00000078765	U2af1l4	Mus_musculus	N	CCCH ZF,RRM	zf-CCCH,RRM_1	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02978_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000000439	Mkrn2	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02979_0.6	F17_0.6	TS19_0.6	.	.	ENSMUSG00000001909	Trmt1	Mus_musculus	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
